BE;826;817
BG;167;173
CZ;410;422
DK;963;875
DE;13242;1471
EE;102;131
IE;545;12
GR;124;152
ES;3318;2814
FR;6260;5752
IT;5925;6123
CY;100;15
LT;142;178
LU;63;54
HU;207;188
MT;13;7
NL;1349;1214
PL;581;678
PT;595;617
RO;347;354
SK;53;57
FI;646;759
NO;552;581
